Channel,Video Title,Video Description,Video ID,Comment,Comment ID,Replies,Likes
Sony SAB,"Taarak Mehta Ka Ooltah Chashmah - Ep 2738 - Full Episode - 24th May, 2019",Episode 2738: The Value Of Money ------------------------------------------ Jethalal's son tries to get money out of his father by praising his chocolate-milk making skills.,83gpD0QwREc,😘😘🥰🥰😍😍,Ugyh4-0ayXx2mQbXZR14AaABAg,0,1
Sony SAB,"Taarak Mehta Ka Ooltah Chashmah - Ep 2738 - Full Episode - 24th May, 2019",Episode 2738: The Value Of Money ------------------------------------------ Jethalal's son tries to get money out of his father by praising his chocolate-milk making skills.,83gpD0QwREc,I LOVE TAARAK MEHTA KA OOLTAH CHASMAH.,Ugylh5IrnBB_DqlKnG14AaABAg,0,3
Sony SAB,"Taarak Mehta Ka Ooltah Chashmah - Ep 2738 - Full Episode - 24th May, 2019",Episode 2738: The Value Of Money ------------------------------------------ Jethalal's son tries to get money out of his father by praising his chocolate-milk making skills.,83gpD0QwREc,They are wearing make up of thousand rs of foreign brand and worried about 5 rs extra for Indian milk brand,UgypXbVhqg0_JJDB7954AaABAg,4,124
Sony SAB,"Taarak Mehta Ka Ooltah Chashmah - Ep 2738 - Full Episode - 24th May, 2019",Episode 2738: The Value Of Money ------------------------------------------ Jethalal's son tries to get money out of his father by praising his chocolate-milk making skills.,83gpD0QwREc,9:00 Babita Ji Ider hai😍,UgzsrT9d6LUlFHOcuBh4AaABAg,0,17
Sony SAB,"Taarak Mehta Ka Ooltah Chashmah - Ep 2738 - Full Episode - 24th May, 2019",Episode 2738: The Value Of Money ------------------------------------------ Jethalal's son tries to get money out of his father by praising his chocolate-milk making skills.,83gpD0QwREc,Jethalal not fikre about 5$  great they are best family,UgxlhwvAS7kZ1DrI3mp4AaABAg,0,7
Sony SAB,"Taarak Mehta Ka Ooltah Chashmah - Ep 2738 - Full Episode - 24th May, 2019",Episode 2738: The Value Of Money ------------------------------------------ Jethalal's son tries to get money out of his father by praising his chocolate-milk making skills.,83gpD0QwREc,Jethalal is best respected Abdul,UgycEqXNQy2o_mA4_Gp4AaABAg,2,45
Sony SAB,"Taarak Mehta Ka Ooltah Chashmah - Ep 2738 - Full Episode - 24th May, 2019",Episode 2738: The Value Of Money ------------------------------------------ Jethalal's son tries to get money out of his father by praising his chocolate-milk making skills.,83gpD0QwREc,*Tappu ke 100 rupe kaat overacting ke !* 😆,UgyvufbPnxYTyGLWcqJ4AaABAg,0,6
Sony SAB,"Taarak Mehta Ka Ooltah Chashmah - Ep 2738 - Full Episode - 24th May, 2019",Episode 2738: The Value Of Money ------------------------------------------ Jethalal's son tries to get money out of his father by praising his chocolate-milk making skills.,83gpD0QwREc,I Love TARAK MEHTA KA ULTA CHASHMA😍😍😍😍❤💙💖💕💔💓💜💗💘💟💞,UgwDicujzjDeKlbfDl14AaABAg,0,24
Sony SAB,"Taarak Mehta Ka Ooltah Chashmah - Ep 2738 - Full Episode - 24th May, 2019",Episode 2738: The Value Of Money ------------------------------------------ Jethalal's son tries to get money out of his father by praising his chocolate-milk making skills.,83gpD0QwREc,Feel so bad for Abdul,UgylsJM6GEH4j5EE_3R4AaABAg,0,6
Sony SAB,"Taarak Mehta Ka Ooltah Chashmah - Ep 2738 - Full Episode - 24th May, 2019",Episode 2738: The Value Of Money ------------------------------------------ Jethalal's son tries to get money out of his father by praising his chocolate-milk making skills.,83gpD0QwREc,Change tappu we want previous tappu,Ugyp0zXZTOzM35N-XSp4AaABAg,2,12
Sony SAB,"Taarak Mehta Ka Ooltah Chashmah - Ep 2738 - Full Episode - 24th May, 2019",Episode 2738: The Value Of Money ------------------------------------------ Jethalal's son tries to get money out of his father by praising his chocolate-milk making skills.,83gpD0QwREc,Poor abdul,UgzbkblofIN-bvwvzfV4AaABAg,0,2
Sony SAB,"Taarak Mehta Ka Ooltah Chashmah - Ep 2738 - Full Episode - 24th May, 2019",Episode 2738: The Value Of Money ------------------------------------------ Jethalal's son tries to get money out of his father by praising his chocolate-milk making skills.,83gpD0QwREc,I love I love Taarak Mehta allot it is my favourite I really really really really really love Taarak Mehta Ka Ooltah Chashmah it is lots of fun it is full of fun I like it sometime there is fight between everyone and they also solve it is awesome it is great I really love it,UgyfUojMMho_HQFX9cZ4AaABAg,2,26
