Channel,Video Title,Video Description,Video ID,Comment,Comment ID,Replies,Likes,clean_comments,language
Sony SAB,"Taarak Mehta Ka Ooltah Chashmah - Ep 2738 - Full Episode - 24th May, 2019",Episode 2738: The Value Of Money ------------------------------------------ Jethalal's son tries to get money out of his father by praising his chocolate-milk making skills.,83gpD0QwREc,Only jethalal was giving respect to abdul ... Coz he knows anything could happen in business,Ugwlx4i3TeUZEanSR8B4AaABAg,12,444,Only jethalal was giving respect to abdul ... Coz he knows anything could happen in business,en
Sony SAB,"Taarak Mehta Ka Ooltah Chashmah - Ep 2738 - Full Episode - 24th May, 2019",Episode 2738: The Value Of Money ------------------------------------------ Jethalal's son tries to get money out of his father by praising his chocolate-milk making skills.,83gpD0QwREc,Everyone's getting mad on Abdul like hell hate them,UgxLOd_d7KCHRzsPEg54AaABAg,0,6,Everyone's getting mad on Abdul like hell hate them,en
Sony SAB,"Taarak Mehta Ka Ooltah Chashmah - Ep 2738 - Full Episode - 24th May, 2019",Episode 2738: The Value Of Money ------------------------------------------ Jethalal's son tries to get money out of his father by praising his chocolate-milk making skills.,83gpD0QwREc,"Happy birthday jetiya
And I know they are going to surprise Abdul",UgyMSyeo4aP_uKTdGs14AaABAg,0,6,"Happy birthday jetiya
And I know they are going to surprise Abdul",en
Sony SAB,"Taarak Mehta Ka Ooltah Chashmah - Ep 2738 - Full Episode - 24th May, 2019",Episode 2738: The Value Of Money ------------------------------------------ Jethalal's son tries to get money out of his father by praising his chocolate-milk making skills.,83gpD0QwREc,Jitha lel's tmkoc review is much more interesting than the episode !!!,UgyCSkjpH629guenGkN4AaABAg,0,19,Jitha lel's tmkoc review is much more interesting than the episode !!!,en
Sony SAB,"Taarak Mehta Ka Ooltah Chashmah - Ep 2738 - Full Episode - 24th May, 2019",Episode 2738: The Value Of Money ------------------------------------------ Jethalal's son tries to get money out of his father by praising his chocolate-milk making skills.,83gpD0QwREc,They are nice as long as  money. Money makes every body funny,Ugzh_bXPjDY_yyIv6eZ4AaABAg,0,6,They are nice as long as  money. Money makes every body funny,en
Sony SAB,"Taarak Mehta Ka Ooltah Chashmah - Ep 2738 - Full Episode - 24th May, 2019",Episode 2738: The Value Of Money ------------------------------------------ Jethalal's son tries to get money out of his father by praising his chocolate-milk making skills.,83gpD0QwREc,I am waiting for next episode,UgxoUuzvQAFANT7KPi54AaABAg,0,18,I am waiting for next episode,en
Sony SAB,"Taarak Mehta Ka Ooltah Chashmah - Ep 2738 - Full Episode - 24th May, 2019",Episode 2738: The Value Of Money ------------------------------------------ Jethalal's son tries to get money out of his father by praising his chocolate-milk making skills.,83gpD0QwREc,Tappu is wearing lipstick🤣🤣,UgyqL-Y97oqzYBgTBnp4AaABAg,0,58,Tappu is wearing lipstick,en
Sony SAB,"Taarak Mehta Ka Ooltah Chashmah - Ep 2738 - Full Episode - 24th May, 2019",Episode 2738: The Value Of Money ------------------------------------------ Jethalal's son tries to get money out of his father by praising his chocolate-milk making skills.,83gpD0QwREc,I like it very much and i really enjoy it,UgxBUfXD1e5ccWt53fN4AaABAg,0,2,I like it very much and i really enjoy it,en
Sony SAB,"Taarak Mehta Ka Ooltah Chashmah - Ep 2738 - Full Episode - 24th May, 2019",Episode 2738: The Value Of Money ------------------------------------------ Jethalal's son tries to get money out of his father by praising his chocolate-milk making skills.,83gpD0QwREc,"happy birthday Jethalal
Dilip joshi",UgxZtWpGY1248o7cEnl4AaABAg,0,10,"happy birthday Jethalal
Dilip joshi",en
Sony SAB,"Taarak Mehta Ka Ooltah Chashmah - Ep 2738 - Full Episode - 24th May, 2019",Episode 2738: The Value Of Money ------------------------------------------ Jethalal's son tries to get money out of his father by praising his chocolate-milk making skills.,83gpD0QwREc,Hit hy so,UgyAzA5x-JpfgOPVbJF4AaABAg,0,2,Hit hy so,en
