Video ID,Comment ID,comments
83gpD0QwREc,UgxFZFccT1pjYlzymq54AaABAg,yee  kya  hain  itne  dino  ki  relationship  jo  abdul  vai  sain  hain  o  chant  pal  o  main  kaice  badal  gaya  gada  family  ko  corkar  har  ek  carecter  nein  jo  behave  ki  hain  o  man  nein  main  nehi  ara  ha  hain
83gpD0QwREc,UgzwJNsyeOz6dyv6LiJ4AaABAg,13  42    babita  ji  understands  jetha  better  than  any  other  person
83gpD0QwREc,UgwikxjiL-L4VyzU9Wh4AaABAg,Very  good    show
83gpD0QwREc,UgwWvRW4ZH0HqgHR4UR4AaABAg,I'm  still  watching  old  episodes        New  episodes  are  very  boring          Bahut  over  acting  kar  rahe  hain      
83gpD0QwREc,UgzgS3vNtqoIkBypNZ14AaABAg,Fok  upstairs  in  my  job    so  I  am  a  beautiful  person    but  it  is  a  great  day  out  with  a  new  one    the
83gpD0QwREc,UgyDDGS6wQSKg9zCAUR4AaABAg,Babita  look  is  very  pritti  
83gpD0QwREc,UgxpSyUOrwF-VTyKxsV4AaABAg,Only  Jhethalal    understand  Abdul
83gpD0QwREc,Ugy5XWPZ8RTq6ZLOFrx4AaABAg,Happy  birthday  jeathalal
83gpD0QwREc,UgwSTaobJwgZZWpfSO14AaABAg,They  are  fighting  with  Abdul  for  5  rs            And  they  are  called  a  family  in  society
83gpD0QwREc,Ugwr_xRBLNQ1XVwC9al4AaABAg,Only  jethalal  mature
83gpD0QwREc,UgyW_EwOiutu2P58EEJ4AaABAg,Good  morning    gokuldham  society
83gpD0QwREc,Ugy9PPPzBhqOdFsaO6F4AaABAg,Jethalal  best
83gpD0QwREc,Ugz4wwxdqhPRt-ft75p4AaABAg,khudh  to  hr  cheej  pr  itna  khrch  krte  h  kpdo  pr  ghr  pr  lifestyle  pr  festivals  pr          lkin  grib  admi  5  rupey  bdhade  to  afaat  aa  jati  h          shameful          therefore  poor  are  getting  poor
83gpD0QwREc,UgwVnuAlRo4UmqvHI4Z4AaABAg,Very  Nice  Wow  
83gpD0QwREc,Ugw-3hbxAZADwsnphTF4AaABAg,Bakwass  day  by  day    Everyone  are  overacting  
83gpD0QwREc,Ugw1_QA6TdliPPnyw-t4AaABAg,928th  to  watch  
83gpD0QwREc,UgyUo30LNqt_ANGe8l54AaABAg,Tapu  sena  are  the  Best
83gpD0QwREc,UgxSQg2Y5WJuqbGx34R4AaABAg,How  selfish  they  are
83gpD0QwREc,UgwdCHzxeiGTccxZxFV4AaABAg,Where  is  next  episode
83gpD0QwREc,UgzhsAi2D79hlR3-SAh4AaABAg,Plz  make  something  intresting    Don't  just  make  episodes    It's  very  good  show  plz  don't  ruin  it    Make  these  women's  to  do  something  they  have  become  useless  in  absence  of  disha  vakani    Never  seen  doing  comedy  to  any  of  the  women's  expect  daya  behn  and  madhavi  bhavi  sometimes    Plz  make  something  intresting  
83gpD0QwREc,UgzMdWc7E0S0XPYjsId4AaABAg,Logic  died  
83gpD0QwREc,UgyLPtpVziYyt1FGb1B4AaABAg,literally  for  5  rupees  k  leye
83gpD0QwREc,UgwkHueNOYeUXTutM-N4AaABAg,Who  liked  jethalal  character        
83gpD0QwREc,UgxhozPq3Uhp54yAkXF4AaABAg,Only  jethalal  is  real  
83gpD0QwREc,Ugxd9WxIUu-m-KWTjlN4AaABAg,Wow  so  very  super
83gpD0QwREc,UgxZQCUiUORNz3M3HER4AaABAg,Why  tarak  mehata  ka  oolta  chasma  is  not  funny  like  before  why  tmoc            If  you  hear  me  plz  do  make  more  funny  video  or  backround  tone  is  also  not  like  before  why        
83gpD0QwREc,UgxX_sXo20Qdd8c0Tyx4AaABAg,Who  came  after  seeing  thumbnail
83gpD0QwREc,UgwxoyYFdS9LiIMDOPV4AaABAg,Babita  is  very  beaytifull  in  this  episode'  thumbnail
83gpD0QwREc,UgzuOyAPnumQh4vHbkx4AaABAg,Highly  illogical  discussion          abdul  is  also  a  aam  admi  and  very  smll  businessman        gokuldham  ideal  society        aji  ghanta
83gpD0QwREc,Ugy2GUQBjED8H98yegF4AaABAg,Who  is  seeing  this  video  in  lockdown
83gpD0QwREc,Ugx7RfsY5LDUVAuogGB4AaABAg,Inn  express  permission  of
83gpD0QwREc,Ugw4iPJJx7l-hxxNdvp4AaABAg,where  is  daya    
83gpD0QwREc,Ugw-XUt6SxRJ8Pkfc9Z4AaABAg,New  episode  last  wala  bhejiyega
83gpD0QwREc,Ugx9GD2nr1ItuB--Tml4AaABAg,Tapu  real  name  is      
83gpD0QwREc,UgwrjSmBp2ryyJCHNXl4AaABAg,Nice  show  s
83gpD0QwREc,UgwbRpTt1F6byef6EKV4AaABAg,Why  sound  came  copy  of  right
83gpD0QwREc,UgzLBBuSMb6erQekTaV4AaABAg,Poor  Abdul  has  fully  upset  
